GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestion-station-ski,tn.esprit.spring.configs,OpenAPIConfig,50,0,0,0,14,0,5,0,5,0
gestion-station-ski,tn.esprit.spring,GestionStationSkiApplication,8,0,0,0,3,0,2,0,2,0
gestion-station-ski,tn.esprit.spring.services,InstructorServicesImpl,58,0,0,0,10,0,6,0,6,0
gestion-station-ski,tn.esprit.spring.services,SkierServicesImpl,23,160,3,3,5,30,3,10,0,9
gestion-station-ski,tn.esprit.spring.services,PisteServicesImpl,2,49,1,1,1,12,1,6,0,6
gestion-station-ski,tn.esprit.spring.services,RegistrationServicesImpl,221,0,17,0,43,0,16,0,7,0
gestion-station-ski,tn.esprit.spring.services,SubscriptionServicesImpl,149,0,6,0,24,0,13,0,9,0
gestion-station-ski,tn.esprit.spring.services,CourseServicesImpl,30,0,0,0,5,0,5,0,5,0
gestion-station-ski,tn.esprit.spring.entities,Color,0,44,0,0,0,2,0,1,0,1
gestion-station-ski,tn.esprit.spring.entities,Skier,50,36,0,0,6,5,8,10,8,10
gestion-station-ski,tn.esprit.spring.entities,TypeSubscription,0,34,0,0,0,2,0,1,0,1
gestion-station-ski,tn.esprit.spring.entities,Subscription,64,24,0,0,4,5,6,7,6,7
gestion-station-ski,tn.esprit.spring.entities,TypeCourse,34,0,0,0,2,0,1,0,1,0
gestion-station-ski,tn.esprit.spring.entities,Piste,19,47,0,0,5,4,6,8,6,8
gestion-station-ski,tn.esprit.spring.entities,Registration,62,11,0,0,6,2,8,3,8,3
gestion-station-ski,tn.esprit.spring.entities,Course,66,10,0,0,7,3,13,3,13,3
gestion-station-ski,tn.esprit.spring.entities,Support,24,0,0,0,2,0,1,0,1,0
gestion-station-ski,tn.esprit.spring.entities,Instructor,56,0,0,0,8,0,12,0,12,0
gestion-station-ski,tn.esprit.spring.controllers,CourseRestController,25,0,0,0,5,0,5,0,5,0
gestion-station-ski,tn.esprit.spring.controllers,RegistrationRestController,31,0,0,0,5,0,5,0,5,0
gestion-station-ski,tn.esprit.spring.controllers,PisteRestController,25,0,0,0,6,0,5,0,5,0
gestion-station-ski,tn.esprit.spring.controllers,SkierRestController,48,0,0,0,10,0,9,0,9,0
gestion-station-ski,tn.esprit.spring.controllers,InstructorRestController,31,0,0,0,6,0,6,0,6,0
gestion-station-ski,tn.esprit.spring.controllers,SubscriptionRestController,32,0,0,0,6,0,6,0,6,0
